bin,r_low,r_high,count,teacher_acc,wrong_rate,r_mean,confidence_mean,variance_mean
0,7.510213436034974e-06,3.638333873823285e-05,103,1.0,0.0,2.42241130763432e-05,0.9999756813049316,0.0
1,3.638333873823285e-05,6.842848233645782e-05,102,1.0,0.0,4.970804002368823e-05,0.9999501705169678,0.0
2,6.842848233645782e-05,0.00020969921024516225,102,1.0,0.0,0.0001198121317429468,0.999880313873291,0.0
3,0.00020969921024516225,0.017353137955069542,102,1.0,0.0,0.003096173983067274,0.9993045926094055,1.6162756466542305e-08
4,0.017353137955069542,5.056208610534668,103,0.9029126167297363,0.09708737581968307,0.7040376663208008,0.9290893077850342,0.0007388921803794801
