rank,index,name,image_path,figure,score,teacher_wrong_rate,r_mean,r_p95,r_max,t_mean,t_p95,t_max
1,263,2007_008260,/home/ma-user/work/ljs/dataset/VOCAug/JPEGImages/2007_008260.jpg,runs/diagnostics/aaai_h2/h2_rank01_2007_008260.png,1.7753740657386883,0.7985910150111093,0.17858736217021942,1.2231330335140207,5.431492805480957,0.5184192061424255,0.5897494614124298,3.0
2,280,2007_008964,/home/ma-user/work/ljs/dataset/VOCAug/JPEGImages/2007_008964.jpg,runs/diagnostics/aaai_h2/h2_rank02_2007_008964.png,1.6880489655052124,0.49032757773831565,0.3368760049343109,2.4426963567733737,5.3482770919799805,0.5579378008842468,0.6201491862535475,3.0
3,165,2007_005149,/home/ma-user/work/ljs/dataset/VOCAug/JPEGImages/2007_005149.jpg,runs/diagnostics/aaai_h2/h2_rank03_2007_005149.png,1.2769308014307066,0.29165315641134365,0.7431458234786987,3.3782512664794915,5.345299243927002,0.704356849193573,2.627497720718375,3.0
4,136,2007_004112,/home/ma-user/work/ljs/dataset/VOCAug/JPEGImages/2007_004112.jpg,runs/diagnostics/aaai_h2/h2_rank04_2007_004112.png,0.9885536462666268,0.3065716022149192,0.29889169335365295,2.224544084072113,5.255560874938965,0.5802408456802368,0.6067168027162552,3.0
5,76,2007_002426,/home/ma-user/work/ljs/dataset/VOCAug/JPEGImages/2007_002426.jpg,runs/diagnostics/aaai_h2/h2_rank05_2007_002426.png,0.9089796019434451,0.3657243106426859,0.1669316291809082,1.4854229688644403,4.683596611022949,0.588938295841217,0.6721280097961424,3.0
6,103,2007_003134,/home/ma-user/work/ljs/dataset/VOCAug/JPEGImages/2007_003134.jpg,runs/diagnostics/aaai_h2/h2_rank06_2007_003134.png,0.8413306807449965,0.2770341906876212,0.24822327494621277,2.0369200229644795,5.4034199714660645,0.5463067889213562,0.6339776873588563,3.0
