2026-06-05 12:24:58,736 semantic_segmentation INFO: Iters: 110/10000 || Lr: 0.019804 || Task Loss: 1.5067 || KD Loss: 1.1638 || Mini-batch p2p Loss: 0.5004 || Memory p2p Loss: 0.1435 || Memory p2r Loss: 0.1487 || Mini-batch c2c Loss: 0.9391 || Memory c2c Loss: 0.1345 || Channel MSE Loss: 0.2894 || Fitnet Loss: 0.9926 || T_mean: 1.4965 (d+0.1365) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9719/0.3545/1.0000 || v(mean/min/max): 3.3016e-04/2.4082e-17/1.1842e-02 || r(mean/min/max): 2.6281e-01/4.1103e-07/5.4294e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.1, inner 0.5) || err(logc): 8.36e-02/3.49e-05 || c0/tgt/cf: 0.9719/0.8951/0.9072 || Tq10/50/90: 1.000/1.164/2.674 || Tmax: 7.3% || Cost Time: 0:02:27 || Estimated Time: 3:40:17
2026-06-05 12:25:11,997 semantic_segmentation INFO: Iters: 120/10000 || Lr: 0.019786 || Task Loss: 1.3260 || KD Loss: 1.0822 || Mini-batch p2p Loss: 0.4564 || Memory p2p Loss: 0.1294 || Memory p2r Loss: 0.1057 || Mini-batch c2c Loss: 0.9021 || Memory c2c Loss: 0.1373 || Channel MSE Loss: 0.2825 || Fitnet Loss: 0.9807 || T_mean: 1.3693 (d-0.1602) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9826/0.3483/1.0000 || v(mean/min/max): 2.0941e-04/2.2018e-15/1.1861e-02 || r(mean/min/max): 1.7240e-01/1.3227e-06/5.4364e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.1, inner 0.5) || err(logc): 5.64e-02/2.77e-05 || c0/tgt/cf: 0.9826/0.9306/0.9391 || Tq10/50/90: 1.000/1.129/1.944 || Tmax: 4.8% || Cost Time: 0:02:40 || Estimated Time: 3:39:56
2026-06-05 12:25:25,248 semantic_segmentation INFO: Iters: 130/10000 || Lr: 0.019768 || Task Loss: 1.4355 || KD Loss: 1.1497 || Mini-batch p2p Loss: 0.5035 || Memory p2p Loss: 0.1209 || Memory p2r Loss: 0.1221 || Mini-batch c2c Loss: 0.9119 || Memory c2c Loss: 0.1321 || Channel MSE Loss: 0.2866 || Fitnet Loss: 1.0359 || T_mean: 1.4731 (d+0.0732) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9746/0.3594/1.0000 || v(mean/min/max): 2.9341e-04/1.9426e-17/1.1828e-02 || r(mean/min/max): 2.3995e-01/3.8852e-07/5.4257e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.1, inner 0.5) || err(logc): 7.68e-02/3.52e-05 || c0/tgt/cf: 0.9746/0.9027/0.9140 || Tq10/50/90: 1.000/1.173/2.517 || Tmax: 6.8% || Cost Time: 0:02:53 || Estimated Time: 3:39:34
2026-06-05 12:25:38,497 semantic_segmentation INFO: Iters: 140/10000 || Lr: 0.019750 || Task Loss: 1.0118 || KD Loss: 0.8477 || Mini-batch p2p Loss: 0.4973 || Memory p2p Loss: 0.1024 || Memory p2r Loss: 0.1086 || Mini-batch c2c Loss: 0.8971 || Memory c2c Loss: 0.1173 || Channel MSE Loss: 0.2646 || Fitnet Loss: 0.7698 || T_mean: 1.3318 (d-0.0024) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9844/0.4377/1.0000 || v(mean/min/max): 1.8890e-04/2.0397e-17/1.1838e-02 || r(mean/min/max): 1.5709e-01/3.8358e-07/5.4266e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.0, inner 0.5) || err(logc): 5.09e-02/2.99e-05 || c0/tgt/cf: 0.9844/0.9370/0.9446 || Tq10/50/90: 1.000/1.104/1.797 || Tmax: 4.4% || Cost Time: 0:03:06 || Estimated Time: 3:39:14
2026-06-05 12:25:51,732 semantic_segmentation INFO: Iters: 150/10000 || Lr: 0.019732 || Task Loss: 1.2607 || KD Loss: 0.9996 || Mini-batch p2p Loss: 0.4751 || Memory p2p Loss: 0.1204 || Memory p2r Loss: 0.1297 || Mini-batch c2c Loss: 0.9022 || Memory c2c Loss: 0.1339 || Channel MSE Loss: 0.2807 || Fitnet Loss: 0.9011 || T_mean: 1.4108 (d-0.0215) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9788/0.3216/1.0000 || v(mean/min/max): 2.5241e-04/4.4859e-16/1.1812e-02 || r(mean/min/max): 2.0413e-01/6.0424e-07/5.4161e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.8ms(avg 4.0, inner 0.5) || err(logc): 6.39e-02/3.27e-05 || c0/tgt/cf: 0.9788/0.9181/0.9274 || Tq10/50/90: 1.000/1.138/2.113 || Tmax: 5.6% || Cost Time: 0:03:20 || Estimated Time: 3:38:53
2026-06-05 12:26:04,952 semantic_segmentation INFO: Iters: 160/10000 || Lr: 0.019714 || Task Loss: 1.3449 || KD Loss: 0.9006 || Mini-batch p2p Loss: 0.4861 || Memory p2p Loss: 0.0955 || Memory p2r Loss: 0.1132 || Mini-batch c2c Loss: 0.8149 || Memory c2c Loss: 0.1066 || Channel MSE Loss: 0.2578 || Fitnet Loss: 0.7963 || T_mean: 1.4110 (d+0.0635) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9753/0.3620/1.0000 || v(mean/min/max): 3.0064e-04/1.0063e-17/1.1812e-02 || r(mean/min/max): 2.3794e-01/2.0125e-07/5.4239e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.0, inner 0.5) || err(logc): 7.56e-02/3.42e-05 || c0/tgt/cf: 0.9753/0.9083/0.9189 || Tq10/50/90: 1.000/1.101/2.341 || Tmax: 6.6% || Cost Time: 0:03:33 || Estimated Time: 3:38:33
2026-06-05 12:26:18,141 semantic_segmentation INFO: Iters: 170/10000 || Lr: 0.019696 || Task Loss: 1.2355 || KD Loss: 1.0242 || Mini-batch p2p Loss: 0.4436 || Memory p2p Loss: 0.1156 || Memory p2r Loss: 0.0782 || Mini-batch c2c Loss: 0.9176 || Memory c2c Loss: 0.1284 || Channel MSE Loss: 0.2767 || Fitnet Loss: 0.9012 || T_mean: 1.3684 (d-0.0366) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9814/0.3090/1.0000 || v(mean/min/max): 2.2538e-04/2.6681e-18/1.1765e-02 || r(mean/min/max): 1.8281e-01/5.3361e-08/5.3993e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.8ms(avg 4.0, inner 0.5) || err(logc): 5.94e-02/2.80e-05 || c0/tgt/cf: 0.9814/0.9278/0.9365 || Tq10/50/90: 1.000/1.122/1.943 || Tmax: 5.1% || Cost Time: 0:03:46 || Estimated Time: 3:38:12
2026-06-05 12:26:31,283 semantic_segmentation INFO: Iters: 180/10000 || Lr: 0.019678 || Task Loss: 0.8972 || KD Loss: 0.7433 || Mini-batch p2p Loss: 0.4208 || Memory p2p Loss: 0.0882 || Memory p2r Loss: 0.0918 || Mini-batch c2c Loss: 0.8689 || Memory c2c Loss: 0.1226 || Channel MSE Loss: 0.2634 || Fitnet Loss: 0.7849 || T_mean: 1.4116 (d+0.0694) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9781/0.3764/1.0000 || v(mean/min/max): 2.6773e-04/1.9724e-17/1.1807e-02 || r(mean/min/max): 2.1309e-01/3.9289e-07/5.4201e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.0, inner 0.5) || err(logc): 7.08e-02/3.16e-05 || c0/tgt/cf: 0.9781/0.9168/0.9275 || Tq10/50/90: 1.000/1.126/2.215 || Tmax: 6.1% || Cost Time: 0:03:59 || Estimated Time: 3:37:49
2026-06-05 12:26:44,454 semantic_segmentation INFO: Iters: 190/10000 || Lr: 0.019659 || Task Loss: 1.1940 || KD Loss: 0.9809 || Mini-batch p2p Loss: 0.4909 || Memory p2p Loss: 0.1029 || Memory p2r Loss: 0.1089 || Mini-batch c2c Loss: 0.8286 || Memory c2c Loss: 0.1115 || Channel MSE Loss: 0.2589 || Fitnet Loss: 0.8085 || T_mean: 1.4037 (d-0.0666) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9791/0.3396/1.0000 || v(mean/min/max): 2.4652e-04/5.3348e-16/1.1844e-02 || r(mean/min/max): 1.9853e-01/9.4497e-07/5.4308e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.0, inner 0.5) || err(logc): 6.50e-02/2.75e-05 || c0/tgt/cf: 0.9791/0.9209/0.9307 || Tq10/50/90: 1.000/1.144/2.077 || Tmax: 5.8% || Cost Time: 0:04:12 || Estimated Time: 3:37:28
2026-06-05 12:26:57,609 semantic_segmentation INFO: Iters: 200/10000 || Lr: 0.019641 || Task Loss: 1.2841 || KD Loss: 0.9442 || Mini-batch p2p Loss: 0.4821 || Memory p2p Loss: 0.1027 || Memory p2r Loss: 0.1205 || Mini-batch c2c Loss: 0.9038 || Memory c2c Loss: 0.1216 || Channel MSE Loss: 0.2671 || Fitnet Loss: 0.9244 || T_mean: 1.4799 (d+0.0380) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9736/0.3385/1.0000 || v(mean/min/max): 2.9011e-04/1.1947e-16/1.1827e-02 || r(mean/min/max): 2.3912e-01/6.2297e-07/5.4198e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 13.6ms(avg 4.1, inner 1.7) || err(logc): 7.03e-02/4.27e-05 || c0/tgt/cf: 0.9736/0.8990/0.9091 || Tq10/50/90: 1.000/1.168/2.488 || Tmax: 6.4% || Cost Time: 0:04:26 || Estimated Time: 3:37:08
