variant,best_miou,best_step,last_miou,last_step,last_iter,max_iterations,training_complete,last_t_mean,last_t_min,last_t_max,last_calib_err_all,last_calib_err_active,last_c0,last_c_target,last_c_final,last_t_q10,last_t_q50,last_t_q90,last_tmax_ratio,last_newton_abs_dr,last_newton_clamp_ratio,log_path
train,0.633,76000,0.631,80000,80000,80000,True,0.9915,0.9,2.1,,,,,,,,,,7.27,0.0,train.log
train1,0.642,79200,0.64,80000,80000,80000,True,0.613,0.5,3.0,,,,,,,,,,0.161,20.9,train1.log
