stage,temperature,mean_gain,ci95_low,ci95_high,is_best_fixed,best_fixed_temperature,mean_oracle_gain,oracle_uplift_over_best_fixed,relative_oracle_uplift,median_top1_second_margin,p_margin_lt_1e_4,p_margin_lt_1pct_abs_oracle_gain
early,0.5,0.01643809049852421,0.014373583773228546,0.0185295115905262,0,1.5,0.02066373267542284,0.0018791132277053632,0.10003467107414277,1.1106021702289581e-07,0.7039353099730459,0.742533692722372
early,0.75,0.01715362687436589,0.015181237642601065,0.01928768501407734,0,1.5,0.02066373267542284,0.0018791132277053632,0.10003467107414277,1.1106021702289581e-07,0.7039353099730459,0.742533692722372
early,1.0,0.01790019505470749,0.015878430407774796,0.020002188934577773,0,1.5,0.02066373267542284,0.0018791132277053632,0.10003467107414277,1.1106021702289581e-07,0.7039353099730459,0.742533692722372
early,1.25,0.018435252738585407,0.016376852981340072,0.02050621843199368,0,1.5,0.02066373267542284,0.0018791132277053632,0.10003467107414277,1.1106021702289581e-07,0.7039353099730459,0.742533692722372
early,1.5,0.018784619447717477,0.016715639798363217,0.020867758996270327,1,1.5,0.02066373267542284,0.0018791132277053632,0.10003467107414277,1.1106021702289581e-07,0.7039353099730459,0.742533692722372
early,2.0,0.018638749144169454,0.016594821022579993,0.020774265234923855,0,1.5,0.02066373267542284,0.0018791132277053632,0.10003467107414277,1.1106021702289581e-07,0.7039353099730459,0.742533692722372
middle,0.5,0.01160359116616612,0.009798234064848444,0.013419603688905789,0,1.5,0.014002257709231492,0.0016068230125820034,0.12963022692671933,1.2027365820649338e-07,0.7077088948787063,0.7007008086253369
middle,0.75,0.01193759280676267,0.010131636556882949,0.013776210680558766,0,1.5,0.014002257709231492,0.0016068230125820034,0.12963022692671933,1.2027365820649338e-07,0.7077088948787063,0.7007008086253369
middle,1.0,0.012198186637914776,0.010399211110133264,0.014053134335096801,0,1.5,0.014002257709231492,0.0016068230125820034,0.12963022692671933,1.2027365820649338e-07,0.7077088948787063,0.7007008086253369
middle,1.25,0.012348688033980586,0.010543457667932063,0.014220090014562684,0,1.5,0.014002257709231492,0.0016068230125820034,0.12963022692671933,1.2027365820649338e-07,0.7077088948787063,0.7007008086253369
middle,1.5,0.012395434696649488,0.010600530963907196,0.014264827756341207,1,1.5,0.014002257709231492,0.0016068230125820034,0.12963022692671933,1.2027365820649338e-07,0.7077088948787063,0.7007008086253369
middle,2.0,0.011907497958507268,0.010162348109756738,0.013763145002208106,0,1.5,0.014002257709231492,0.0016068230125820034,0.12963022692671933,1.2027365820649338e-07,0.7077088948787063,0.7007008086253369
late,0.5,0.008799734239913901,0.007076047246921084,0.010599118802375115,0,1.5,0.011400675810980343,0.0017522122724245772,0.18160531626850693,1.724175189922657e-07,0.7030727762803235,0.6623180592991914
late,0.75,0.009157110439189344,0.007418006679129401,0.010960877428350679,0,1.5,0.011400675810980343,0.0017522122724245772,0.18160531626850693,1.724175189922657e-07,0.7030727762803235,0.6623180592991914
late,1.0,0.00942136522005545,0.007651795314414097,0.01124899985474664,0,1.5,0.011400675810980343,0.0017522122724245772,0.18160531626850693,1.724175189922657e-07,0.7030727762803235,0.6623180592991914
late,1.25,0.009593297697854147,0.007836561510625529,0.011447734761522868,0,1.5,0.011400675810980343,0.0017522122724245772,0.18160531626850693,1.724175189922657e-07,0.7030727762803235,0.6623180592991914
late,1.5,0.009648463538555765,0.007921819081951697,0.011460512857616253,1,1.5,0.011400675810980343,0.0017522122724245772,0.18160531626850693,1.724175189922657e-07,0.7030727762803235,0.6623180592991914
late,2.0,0.00932512924214724,0.007682560125321963,0.011096292562061929,0,1.5,0.011400675810980343,0.0017522122724245772,0.18160531626850693,1.724175189922657e-07,0.7030727762803235,0.6623180592991914
