scope,score,region_count,top1_accuracy,adjacent_accuracy,mean_regret,median_regret,mean_spearman,median_spearman
early,teacher_min_r,9275,0.5416711590296496,0.7246361185983827,0.004216969997582871,0.0,0.6048326639525635,0.9428571428571428
early,scalar_r_gap,9275,0.11504043126684636,0.20463611859838274,0.003329953254270439,0.0006016113329678774,-0.2808207439460642,-0.6571428571428571
early,vector_covar_gap,9275,0.1232345013477089,0.2155256064690027,0.0030393251466908655,0.0003627254336606711,-0.19143834110114227,-0.14285714285714285
early,teacher_student_kl,9275,0.13444743935309972,0.30641509433962266,0.0026852133669653996,4.4094398617744446e-05,0.07678451240698057,0.08571428571428572
middle,teacher_min_r,9275,0.595256064690027,0.783611859838275,0.0023902231301545234,0.0,0.6768601855907,0.9856107606091623
middle,scalar_r_gap,9275,0.11956873315363882,0.22587601078167116,0.0022516406926140708,0.0004952264243911486,-0.20179872188903591,-0.14285714285714285
middle,vector_covar_gap,9275,0.12064690026954178,0.24549865229110512,0.0020375480346300325,0.0002922871499322355,-0.08340229078120683,-0.08571428571428572
middle,teacher_student_kl,9275,0.14684636118598382,0.3721832884097035,0.00179119275443066,2.4168100026145112e-05,0.2257478298573241,0.42857142857142855
late,teacher_min_r,9275,0.6155256064690027,0.7900808625336927,0.002596178307640527,0.0,0.6717250719011646,0.9856107606091623
late,scalar_r_gap,9275,0.12291105121293801,0.24819407008086253,0.002298987787681811,0.00040111891030392144,-0.11672753937154587,-0.11595420713048969
late,vector_covar_gap,9275,0.1198921832884097,0.2734231805929919,0.002121860590897506,0.0002455081707921636,0.007423988105120891,0.02857142857142857
late,teacher_student_kl,9275,0.15514824797843665,0.4125067385444744,0.001855460005447759,1.6161465152565876e-05,0.31699571277109384,0.4857142857142857
overall,teacher_min_r,27825,0.5841509433962264,0.7661096136567834,0.0030677904784593073,0.0,0.6511393071481425,0.9856107606091623
overall,scalar_r_gap,27825,0.11917340521114106,0.2262353998203055,0.0026268605781887737,0.0004960981605108827,-0.199782335068882,-0.14285714285714285
overall,vector_covar_gap,27825,0.12125786163522012,0.2448158131176999,0.002399577924072801,0.0002983672839036444,-0.08913888125907608,-0.08571428571428572
overall,teacher_student_kl,27825,0.1454806828391734,0.36370170709793354,0.0021106220422812735,2.738810144364834e-05,0.20650935167846615,0.42857142857142855
