temperature,valid_pixels,finite_fraction,confidence_mean,r_c_mean,r_v_mean,r_mean,entropy_mean,residual_variance_mean,normalized_residual_variance_mean,dr_dT_mean,dr_negative_fraction,d2r_negative_fraction,max_decomposition_abs,max_stable_legacy_rv_abs,max_variance_identity_abs
0.5,244886857,1.0,0.9898172109510808,0.012145203743161114,0.09122689765097029,0.10337210139490154,0.025015941549996302,0.00012819746599300862,0.058233621834934274,0.20677871476680287,0.0007752314776125368,0.32668738118518137,4.76837158203125e-07,1.9073486328125e-06,4.6566128730773926e-09
0.75,244886857,1.0,0.9841755728669652,0.018892370032768873,0.13638318901726643,0.1552755590475256,0.040284569151821055,0.00019130646950453042,0.04971493900720582,0.20791204340995378,0.002184429195397775,0.1002699299619824,4.76837158203125e-07,2.384185791015625e-06,4.6566128730773926e-09
1.0,244886857,1.0,0.9776787651447314,0.026652497880057753,0.17995524995361412,0.20660774783141622,0.0609767167548119,0.00025306992094231733,0.019927290683514547,0.20037223779392746,0.005828071042620307,0.08128554240867243,4.76837158203125e-07,1.9073486328125e-06,4.6566128730773926e-09
1.25,244886857,1.0,0.9692967859656499,0.03660421712880038,0.21742773428982543,0.2540319514199887,0.09499482401760877,0.0003107421587493223,0.015313123212011986,0.17628178165232702,0.014140044273588762,0.12122658750934927,4.76837158203125e-07,1.9073486328125e-06,4.6566128730773926e-09
1.5,244886857,1.0,0.9572081817938983,0.05083644645187705,0.24305592402825457,0.2938923704797309,0.15423655562157682,0.00036020259594236534,0.011681507157052752,0.1423166615983403,0.02840498295913039,0.1664264815975812,4.76837158203125e-07,2.1457672119140625e-06,4.6566128730773926e-09
2.0,244886857,1.0,0.913622342837652,0.10225264746011026,0.25113332857493886,0.3533859760365425,0.3860032706141019,0.00042175563918511776,0.006713613607086858,0.10856048310858875,0.06587924398082336,0.20258758517203723,4.76837158203125e-07,1.9073486328125e-06,4.6566128730773926e-09
