temperature,mean_r,mean_r_c,mean_r_v,pixacc_percent,miou_percent,training_time,contract_pass,variant
0.5,0.10337210139490154,0.012145203743161114,0.09122689765097029,89.774579,59.49921,1:07:09.723796,True,T0p5_20k_seed1234
0.75,0.1552755590475256,0.018892370032768873,0.13638318901726643,89.903975,60.375696,1:07:05.964186,True,T0p75_20k_seed1234
1.0,0.20660774783141622,0.026652497880057753,0.17995524995361412,89.687377,59.38493,1:07:04.185177,True,T1p0_20k_seed1234
1.5,0.2938923704797309,0.05083644645187705,0.24305592402825457,90.041566,60.861409,1:07:05.689746,True,T1p5_20k_seed1234
2.0,0.3533859760365425,0.10225264746011026,0.25113332857493886,90.048164,60.368663,1:07:06.288971,True,T2p0_20k_seed1234
